user_id,product_id,rating,timestamp
435,6515,4.6,2025-04-06 11:04:53.934312
2018,532,5.0,2025-04-24 11:04:53.934483
8554,1606,3.6,2025-05-16 11:04:53.934625
4382,331,4.4,2025-04-28 11:04:53.934758
3881,11467,4.7,2025-03-12 11:04:53.934890
6566,12263,4.8,2025-04-27 11:04:53.935031
1808,7017,3.0,2025-05-13 11:04:53.935156
3077,10066,5.0,2025-03-08 11:04:53.935279
271,3616,4.6,2025-03-28 11:04:53.935414
4560,10114,4.3,2025-05-14 11:04:53.935546
8653,9563,4.4,2025-04-19 11:04:53.935677
301,1750,4.1,2025-05-14 11:04:53.935813
7331,426,3.0,2025-04-15 11:04:53.935943
9786,5,4.0,2025-03-25 11:04:53.936081
6156,5832,3.7,2025-05-15 11:04:53.936206
4880,7863,3.7,2025-05-06 11:04:53.936326
136,249,4.0,2025-04-28 11:04:53.936456
8120,3083,3.5,2025-03-14 11:04:53.936576
5274,6599,5.0,2025-04-09 11:04:53.936712
1221,12360,4.9,2025-04-27 11:04:53.936838
9194,3403,4.0,2025-04-18 11:04:53.936968
1154,7042,4.5,2025-03-01 11:04:53.937098
8260,4334,4.2,2025-05-07 11:04:53.937219
5753,1280,4.4,2025-04-19 11:04:53.937336
3967,1185,5.0,2025-04-30 11:04:53.937456
1704,10460,4.4,2025-03-05 11:04:53.937573
4175,8931,3.9,2025-04-03 11:04:53.937705
4337,1782,4.6,2025-04-20 11:04:53.937839
7943,12363,5.0,2025-05-04 11:04:53.937976
1636,655,5.0,2025-05-01 11:04:53.938132
456,11904,3.2,2025-05-11 11:04:53.938262
4773,10333,5.0,2025-03-29 11:04:53.938391
7046,1733,4.2,2025-05-06 11:04:53.938526
9907,7180,4.4,2025-05-09 11:04:53.938666
909,8490,4.7,2025-05-07 11:04:53.938787
1991,11776,5.0,2025-05-13 11:04:53.938909
3056,8457,3.9,2025-04-21 11:04:53.939050
1102,1448,4.1,2025-05-16 11:04:53.939184
1808,11782,5.0,2025-04-27 11:04:53.939305
6836,4723,4.4,2025-04-14 11:04:53.939432
6246,9140,4.4,2025-04-05 11:04:53.939577
6203,11900,2.7,2025-05-10 11:04:53.939698
2578,1630,4.9,2025-04-30 11:04:53.939823
1582,9826,4.4,2025-05-01 11:04:53.939949
7314,6671,5.0,2025-05-16 11:04:53.940089
8236,11307,4.8,2025-05-07 11:04:53.940220
2871,7816,4.6,2025-05-04 11:04:53.940351
9151,6586,3.6,2025-04-12 11:04:53.940484
3977,1258,3.6,2025-04-16 11:04:53.940616
7372,4160,4.8,2025-05-15 11:04:53.940742
8742,4335,4.7,2025-05-06 11:04:53.940860
46,614,3.9,2025-05-05 11:04:53.940992
3308,3589,4.2,2025-04-22 11:04:53.941123
7335,794,3.7,2025-05-11 11:04:53.941257
7023,9899,4.7,2025-04-30 11:04:53.941386
975,1475,4.2,2025-04-12 11:04:53.941517
4841,6502,3.6,2025-04-22 11:04:53.941647
4613,8150,3.6,2025-04-22 11:04:53.941774
6532,10361,4.6,2025-05-14 11:04:53.941899
7504,9636,2.8,2025-04-26 11:04:53.942045
9957,10518,4.7,2025-04-30 11:04:53.942176
1135,5588,5.0,2025-05-01 11:04:53.942297
5702,10274,5.0,2025-03-29 11:04:53.942431
6465,527,5.0,2025-05-11 11:04:53.942561
4271,3850,5.0,2025-05-16 11:04:53.942699
5499,9082,3.9,2025-05-13 11:04:53.942820
6210,237,4.6,2025-05-10 11:04:53.942951
8365,6864,4.3,2025-04-02 11:04:53.943090
7499,10533,4.6,2025-05-09 11:04:53.943218
156,11423,3.0,2025-05-14 11:04:53.943345
9285,7810,4.7,2025-05-09 11:04:53.943478
6442,10124,4.7,2025-04-07 11:04:53.943615
1531,3620,5.0,2025-04-22 11:04:53.943746
6520,65,4.0,2025-05-02 11:04:53.943869
4080,11806,3.4,2025-04-21 11:04:53.944008
2928,1859,4.9,2025-04-21 11:04:53.944140
1121,12121,4.0,2025-04-28 11:04:53.944263
848,6082,4.8,2025-04-28 11:04:53.944389
8766,5541,3.2,2025-02-24 11:04:53.944524
2122,3253,5.0,2025-05-03 11:04:53.944651
7475,661,3.7,2025-03-28 11:04:53.944772
6239,3562,4.3,2025-04-13 11:04:53.944904
6520,12362,3.0,2025-04-22 11:04:53.945036
3589,1943,4.9,2025-04-11 11:04:53.945165
4135,2847,4.5,2025-04-12 11:04:53.945294
8860,11069,3.3,2025-04-08 11:04:53.945422
9319,4221,5.0,2025-04-24 11:04:53.945554
327,11512,3.5,2025-05-12 11:04:53.945690
7023,3671,3.9,2025-04-15 11:04:53.945816
6289,2314,4.3,2025-05-11 11:04:53.945948
3349,5171,4.0,2025-04-22 11:04:53.946079
1890,8285,4.8,2025-03-25 11:04:53.946207
2969,11623,3.6,2025-05-16 11:04:53.946331
4298,12267,3.9,2025-01-12 11:04:53.946461
1234,165,4.1,2025-05-07 11:04:53.946590
4371,10156,3.5,2025-04-22 11:04:53.946717
9138,8944,3.8,2025-02-23 11:04:53.946837
8559,6571,3.8,2025-04-13 11:04:53.946976
4611,10556,4.5,2025-05-14 11:04:53.947106
1908,686,4.5,2025-02-23 11:04:53.947240
2554,4680,4.5,2025-04-26 11:04:53.947361
4871,8098,3.9,2025-04-21 11:04:53.947494
233,5134,4.1,2025-04-22 11:04:53.947633
6248,4581,4.6,2025-05-16 11:04:53.947758
1994,7002,5.0,2025-05-15 11:04:53.947890
1696,12161,5.0,2025-03-07 11:04:53.948022
2732,382,2.4,2025-05-02 11:04:53.948160
1991,11460,4.1,2025-05-13 11:04:53.948280
4698,9351,3.4,2025-03-31 11:04:53.948405
603,1060,4.3,2025-03-31 11:04:53.948533
2742,3375,4.7,2025-05-04 11:04:53.948671
8064,8206,4.1,2025-04-27 11:04:53.948791
4901,1519,4.2,2025-01-26 11:04:53.948921
9768,1863,4.1,2025-05-13 11:04:53.949053
7816,756,3.6,2025-05-10 11:04:53.949183
3735,478,2.8,2025-01-08 11:04:53.949305
4747,12575,5.0,2025-04-26 11:04:53.949433
4278,8340,3.9,2025-05-03 11:04:53.949574
7671,1190,4.8,2025-04-23 11:04:53.949709
9882,2822,4.0,2025-04-20 11:04:53.949833
9621,7157,4.8,2025-04-14 11:04:53.949977
8847,7578,4.8,2025-04-25 11:04:53.950107
4404,11740,4.5,2025-04-16 11:04:53.950235
6863,6483,4.8,2025-05-12 11:04:53.950357
710,2656,4.8,2025-04-28 11:04:53.950495
7614,11312,5.0,2025-05-06 11:04:53.950633
8253,9368,4.5,2025-05-12 11:04:53.950769
6361,668,2.5,2025-04-29 11:04:53.950900
2087,10998,4.1,2025-05-16 11:04:53.951041
2556,10749,5.0,2025-04-26 11:04:53.951175
3529,8508,4.2,2025-04-27 11:04:53.951304
9868,12358,3.2,2025-03-19 11:04:53.951436
5182,7038,3.7,2025-04-19 11:04:53.951574
7763,582,4.7,2025-04-06 11:04:53.951705
6664,6918,4.1,2025-05-06 11:04:53.951834
6298,8611,3.0,2025-02-11 11:04:53.951965
2850,9182,4.7,2025-03-08 11:04:53.952097
4567,4493,4.2,2024-11-18 11:04:53.952223
6206,10873,4.1,2025-05-03 11:04:53.952355
2663,7117,4.8,2025-05-11 11:04:53.952493
9570,9474,3.8,2025-05-09 11:04:53.952629
5633,12490,5.0,2025-05-09 11:04:53.952753
6816,2020,3.4,2025-05-16 11:04:53.952879
8122,6394,5.0,2025-04-26 11:04:53.953014
4972,10976,4.1,2025-02-24 11:04:53.953148
7007,12233,2.7,2025-05-12 11:04:53.953278
1310,2375,4.3,2025-05-01 11:04:53.953409
6807,6700,4.8,2025-04-19 11:04:53.953542
3860,9176,3.4,2025-05-04 11:04:53.953680
7625,3460,4.7,2025-04-20 11:04:53.953811
273,11804,4.5,2025-02-26 11:04:53.953946
7910,6038,4.6,2025-05-14 11:04:53.954083
9038,1330,3.3,2025-05-16 11:04:53.954215
7938,5507,3.6,2025-03-14 11:04:53.954341
2608,6856,3.4,2025-04-25 11:04:53.954476
4519,3904,4.1,2025-04-09 11:04:53.954611
1639,1632,3.8,2025-05-16 11:04:53.954742
2325,649,4.0,2025-04-27 11:04:53.954869
6308,9758,3.7,2025-05-03 11:04:53.955006
303,8370,3.6,2025-05-14 11:04:53.955142
9452,6900,4.2,2025-05-08 11:04:53.955274
6273,5519,3.4,2025-04-12 11:04:53.955407
6907,10996,3.0,2025-05-12 11:04:53.955542
1523,9882,5.0,2025-05-06 11:04:53.955675
7065,12314,4.1,2025-04-29 11:04:53.955803
5814,6360,3.3,2025-03-09 11:04:53.955935
1110,10940,5.0,2025-04-11 11:04:53.956067
2439,826,4.4,2025-05-14 11:04:53.956197
4891,2983,3.7,2025-03-15 11:04:53.956318
4822,11412,4.9,2025-03-27 11:04:53.956457
6342,5919,4.8,2025-05-01 11:04:53.956589
2697,6477,4.2,2025-03-02 11:04:53.956719
7004,2238,5.0,2025-04-10 11:04:53.956848
8197,2783,4.4,2025-05-10 11:04:53.956977
623,11251,4.3,2025-05-13 11:04:53.957107
5290,2147,5.0,2025-05-13 11:04:53.957233
2574,6759,4.6,2025-01-29 11:04:53.957364
2039,2500,3.9,2025-05-10 11:04:53.957494
1396,1687,4.8,2025-04-18 11:04:53.957630
3002,1394,2.9,2025-04-09 11:04:53.957760
7955,10158,4.6,2025-04-26 11:04:53.957894
1770,10986,5.0,2025-05-10 11:04:53.958023
2521,3007,3.8,2025-04-22 11:04:53.958155
9868,2358,4.2,2025-05-12 11:04:53.958296
9625,3680,3.6,2025-05-05 11:04:53.958427
863,7274,2.5,2025-04-18 11:04:53.958557
4911,7487,3.0,2025-04-25 11:04:53.958695
5752,8590,4.4,2025-03-19 11:04:53.958815
2557,11111,4.5,2025-05-12 11:04:53.958943
9063,3889,4.5,2025-05-03 11:04:53.959072
3450,7311,3.7,2025-04-15 11:04:53.959200
6923,9656,3.5,2025-05-13 11:04:53.959335
3095,2411,5.0,2025-05-06 11:04:53.959467
1028,9493,3.7,2025-05-06 11:04:53.959598
1892,6618,4.1,2025-05-06 11:04:53.959727
4915,11710,4.0,2025-04-24 11:04:53.959846
3608,2407,4.1,2025-04-08 11:04:53.959977
2520,9403,4.6,2025-05-07 11:04:53.960106
3803,12163,4.4,2025-04-03 11:04:53.960229
3174,2560,4.0,2025-03-01 11:04:53.960352
6512,828,4.9,2025-05-12 11:04:53.960480
5253,2708,3.7,2025-05-15 11:04:53.960620
2599,12266,3.0,2025-03-19 11:04:53.960747
8694,3221,2.7,2025-04-11 11:04:53.960880
7524,4658,2.2,2025-05-13 11:04:53.961009
9142,3752,4.9,2025-04-09 11:04:53.961141
2173,11572,4.2,2025-04-19 11:04:53.961265
9798,2280,5.0,2025-03-30 11:04:53.961390
5124,8134,4.2,2025-04-19 11:04:53.961520
7388,3132,2.7,2025-04-24 11:04:53.961650
9591,9244,3.2,2025-05-04 11:04:53.961773
3123,1046,4.9,2025-05-10 11:04:53.961908
8599,2155,5.0,2025-04-03 11:04:53.962039
7917,947,4.2,2025-04-16 11:04:53.962170
